id,business,investment,skills,customers,mobility,competitors,problems,success
1,"Производство и продажа натурального меда",500000,"Знания в пчеловодстве, опыт в маркетинге","Люди, заботящиеся о здоровье","Доставка по городу, Instagram","Крупные медовые компании","Рост цен на сырье. Планы: расширение производства",1
2,"Пошив женской одежды в национальном стиле",300000,"Опыт в шитье, команда швей","Женщины, любящие уникальные наряды","Магазин, онлайн-заказы","Другие ателье","Дорогие материалы. Планы: новая коллекция",0
3,"Кофейня с десертами",1500000,"Опыт в приготовлении кофе","Студенты, офисные работники","Кафе в центре, доставка","Другие кофейни","Высокая аренда. Планы: программа лояльности",1
4,"Разработка мобильных приложений",800000,"Программисты, дизайнеры","Малый и средний бизнес","Онлайн-офис","IT-компании","Нехватка программистов. Планы: выход на экспорт",1
5,"Организация туров по Кыргызстану",400000,"Опыт в туризме","Любители путешествий","Офис, онлайн-бронирование","Турагентства","Сезонность. Планы: привлечение иностранцев",0
6,"Языковые курсы (английский/русский)",600000,"Преподаватели","Студенты, мигранты","Учебный центр","Другие курсы","Конкуренция. Планы: онлайн-обучение",1
7,"Производство мебели на заказ",1000000,"Столяры, дизайнер","Семьи, бизнесы","Цех, доставка","Мебельные магазины","Дорогие материалы. Планы: новые станки",1
8,"Доставка еды из ресторанов",500000,"Логисты, курьеры","Занятые люди","Мобильное приложение","Сервисы доставки","Конкуренция. Планы: новые рестораны-партнеры",1
9,"Автосервис",700000,"Механики","Владельцы автомобилей","Станция ТО","Другие СТО","Дорогие запчасти. Планы: новые услуги",1
11,"Производство сыров из козьего молока",750000,"Технолог пищевого производства, 2 помощника","Рестораны, ЗОЖ-магазины, частные покупатели","Доставка по области, продажи на фермерских рынках","Крупные сырные заводы, импортные бренды","Сезонность производства, сложности с хранением. Планы: приобретение холодильных камер",0
12,"Ремонт и обслуживание компьютеров",350000,"Сертифицированные IT-специалисты (3 человека)","Офисы, студенты, пенсионеры","Вызов на дом, курьерская доставка комплектующих","Другие сервисные центры, магазины электроники","Устаревание оборудования, нехватка качественных запчастей. Планы: запуск услуг по кибербезопасности",1
13,"Студия йоги и медитации",500000,"Сертифицированные инструкторы (4 человека)","Офисные работники 25-50 лет, беременные","Аренда зала в центре города, онлайн-трансляции","Фитнес-клубы, другие студии йоги","Сезонное падение спроса летом. Планы: корпоративные программы для компаний",1
14,"Изготовление памятников и надгробий",1200000,"Художник-камнерез, 2 помощника","Ритуальные агентства, частные заказчики","Собственная мастерская, выезд на замеры","Другие мастерские, импортная продукция","Психологическая сложность работы. Планы: автоматизация производства",0
15,"Доставка обедов в офисы",900000,"Повара (3 чел.), логисты","Офисные работники, госучреждения","Собственная кухня, 2 автомобиля","Другие службы доставки, столовые","Сезонность (летом спрос падает). Планы: внедрение подписки на обеды",1
16,"Агентство недвижимости",600000,"Агенты с лицензиями (5 человек)","Продавцы и покупатели жилья","Офис в центре, мобильные бригады","Другие агентства, частные маклеры","Колебания рынка недвижимости. Планы: развитие ипотечного брокериджа",1
17,"Производство крафтового пива",2500000,"Технолог пивоварения, 4 рабочих","Бары, рестораны, пивные магазины","Собственный цех, доставка","Крупные пивзаводы, импортные бренды","Высокие акцизы. Планы: открытие собственного паба",0
18,"Служба клининга для офисов",400000,"Обученный персонал (8 человек)","Компании, арендодатели","Выездные бригады, свой инвентарь","Частные уборщицы, другие клининговые компании","Текучесть кадров. Планы: автоматизация управления заказами",1
19,"Ветеринарная клиника",1500000,"2 ветеринара, ассистент","Владельцы домашних животных","Стационар с операционной, выезд на дом","Государственные ветстанции","Дорогое оборудование. Планы: расширение лаборатории",1
20,"Мастерская по ремонту обуви",300000,"Мастер с 15-летним опытом","Городские жители, офисные работтели","Небольшая точка в ТЦ","Другие мастерские, покупка новой обуви","Нехватка квалифицированных кадров. Планы: франшиза",0
21,"Продажа комнатных растений",500000,"Биолог, 2 продавца","Офисы, молодые семьи, рестораны","Теплица на окраине, магазин в центре","Цветочные магазины, супермаркеты","Сложности с транспортировкой. Планы: онлайн-консультации по уходу",1
