id,business,investment,skills,customers,mobility,competitors,problems,success
41,Коворкинг-пространство,800000,"Управление, маркетинг","Фрилансеры, стартапы",Офис в центре,Другие коворкинги,"Высокая аренда, сезонные спады",1
42,Магазин национальных сувениров,250000,"Знание культуры, продажи","Туристы, местные жители","Торговая точка, онлайн",Сувенирные лавки,"Сезонность туризма, слабый онлайн маркетинг",0
43,Детский развивающий центр,600000,"Педагогика, менеджмент",Родители детей 3-7 лет,Помещение в жилом районе,Другие центры развития,"Конкуренция, сезонные каникулы",1
44,Велосипедный прокат,200000,"Логистика, сервис","Туристы, молодежь",Уличная точка,"Прокат машин, спорттовары","Плохие дороги, сезонность",0
45,Онлайн-курсы по программированию,500000,"IT, преподавание","Молодежь, студенты",Онлайн,Другие онлайн школы,"Сильная конкуренция, пиратство",1
46,Кафе здорового питания,700000,"Кулинария, маркетинг","ЗОЖ-активисты, офисные работники",Кафе + доставка,"Другие кафе, фастфуд","Высокая аренда, недоверие к ЗОЖ",0
47,Автошкола,1000000,"Вождение, педагогика",Молодые водители,Автодром,Другие автошколы,"Высокая конкуренция, сезонные спады",1
48,Ремонт электроники,300000,"Электроника, сервис","Частные лица, офисы",Мастерская + выезд,Сервисные центры,Быстрое устаревание техники,1
49,Мастерская по пошиву сумок,250000,"Пошив, дизайн","Женщины 25-45, студенты","Лавка, онлайн","Крупные бренды, ателье",Сложности с закупкой материалов,0
50,Фитнес-клуб с групповыми занятиями,1200000,"Тренеры, менеджмент","Молодежь, офисные работники",Зал в жилом районе,Другие фитнес-клубы,"Конкуренция, сезонные спады",1
51,Бизнес пример 51,710000,Навыки примерные,Клиенты примерные,Мобильность примерная,Конкуренты примерные,Проблемы примерные,0
52,Бизнес пример 52,720000,Навыки примерные,Клиенты примерные,Мобильность примерная,Конкуренты примерные,Проблемы примерные,1
53,Бизнес пример 53,730000,Навыки примерные,Клиенты примерные,Мобильность примерная,Конкуренты примерные,Проблемы примерные,0
54,Бизнес пример 54,740000,Навыки примерные,Клиенты примерные,Мобильность примерная,Конкуренты примерные,Проблемы примерные,1
55,Бизнес пример 55,750000,Навыки примерные,Клиенты примерные,Мобильность примерная,Конкуренты примерные,Проблемы примерные,0
56,Бизнес пример 56,760000,Навыки примерные,Клиенты примерные,Мобильность примерная,Конкуренты примерные,Проблемы примерные,1
57,Бизнес пример 57,770000,Навыки примерные,Клиенты примерные,Мобильность примерная,Конкуренты примерные,Проблемы примерные,0
58,Бизнес пример 58,780000,Навыки примерные,Клиенты примерные,Мобильность примерная,Конкуренты примерные,Проблемы примерные,1
59,Бизнес пример 59,790000,Навыки примерные,Клиенты примерные,Мобильность примерная,Конкуренты примерные,Проблемы примерные,0
60,Бизнес пример 60,800000,Навыки примерные,Клиенты примерные,Мобильность примерная,Конкуренты примерные,Проблемы примерные,1
61,Бизнес пример 61,810000,Навыки примерные,Клиенты примерные,Мобильность примерная,Конкуренты примерные,Проблемы примерные,0
62,Бизнес пример 62,820000,Навыки примерные,Клиенты примерные,Мобильность примерная,Конкуренты примерные,Проблемы примерные,1
63,Бизнес пример 63,830000,Навыки примерные,Клиенты примерные,Мобильность примерная,Конкуренты примерные,Проблемы примерные,0
64,Бизнес пример 64,840000,Навыки примерные,Клиенты примерные,Мобильность примерная,Конкуренты примерные,Проблемы примерные,1
65,Бизнес пример 65,850000,Навыки примерные,Клиенты примерные,Мобильность примерная,Конкуренты примерные,Проблемы примерные,0
66,Бизнес пример 66,860000,Навыки примерные,Клиенты примерные,Мобильность примерная,Конкуренты примерные,Проблемы примерные,1
67,Бизнес пример 67,870000,Навыки примерные,Клиенты примерные,Мобильность примерная,Конкуренты примерные,Проблемы примерные,0
68,Бизнес пример 68,880000,Навыки примерные,Клиенты примерные,Мобильность примерная,Конкуренты примерные,Проблемы примерные,1
69,Бизнес пример 69,890000,Навыки примерные,Клиенты примерные,Мобильность примерная,Конкуренты примерные,Проблемы примерные,0
70,Бизнес пример 70,900000,Навыки примерные,Клиенты примерные,Мобильность примерная,Конкуренты примерные,Проблемы примерные,1
71,Бизнес пример 71,910000,Навыки примерные,Клиенты примерные,Мобильность примерная,Конкуренты примерные,Проблемы примерные,0
72,Бизнес пример 72,920000,Навыки примерные,Клиенты примерные,Мобильность примерная,Конкуренты примерные,Проблемы примерные,1
